frame_index,hotspot_rank,is_top_hotspot,station_name,location_id,latitude,longitude,datetime_to_utc,forecast_for_utc,pm25,predicted_pm25_xgboost,pm25_next_hour,forecast_change_pm25,forecast_change_percent,forecast_direction,predicted_pm25_subindex,aqi_category,risk_level,recommendation,alert_message
59,6,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-26 17:30:00+00:00,2026-02-26 18:30:00+00:00,27.6,26.12,30.6,-1.48,-5.37,Stable,44,Good,Low,Air quality is suitable for normal outdoor activity.,"Manali, Chennai - CPCB is forecast to remain within the good category at 26.1 µg/m³. Conditions are stable."
60,1,True,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-26 18:30:00+00:00,2026-02-26 19:30:00+00:00,41.2,67.53,42.8,26.33,63.9,Rising sharply,123,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Perungudi, Chennai - TNPCB: next-hour PM2.5 is forecast at 67.5 µg/m³. Conditions are rising sharply."
60,2,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-26 18:30:00+00:00,2026-02-26 19:30:00+00:00,47.0,64.43,49.0,17.43,37.08,Rising sharply,113,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Royapuram, Chennai - TNPCB: next-hour PM2.5 is forecast at 64.4 µg/m³. Conditions are rising sharply."
60,3,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-26 18:30:00+00:00,2026-02-26 19:30:00+00:00,50.0,51.5,43.6,1.5,3.0,Stable,86,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 51.5 µg/m³. Conditions are stable."
60,4,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-26 18:30:00+00:00,2026-02-26 19:30:00+00:00,40.5,37.73,41.7,-2.77,-6.84,Stable,62,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Arumbakkam, Chennai - TNPCB is forecast to remain within the satisfactory category at 37.7 µg/m³. Conditions are stable."
60,5,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-26 18:30:00+00:00,2026-02-26 19:30:00+00:00,38.3,36.37,47.5,-1.93,-5.05,Stable,60,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 36.4 µg/m³. Conditions are stable."
60,6,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-26 18:30:00+00:00,2026-02-26 19:30:00+00:00,30.6,27.22,32.1,-3.38,-11.03,Improving,45,Good,Low,Air quality is suitable for normal outdoor activity.,"Manali, Chennai - CPCB is forecast to remain within the good category at 27.2 µg/m³. Conditions are improving."
61,1,True,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-26 19:30:00+00:00,2026-02-26 20:30:00+00:00,49.0,58.54,47.4,9.54,19.48,Rising,98,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 58.5 µg/m³. Conditions are rising."
61,2,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-26 19:30:00+00:00,2026-02-26 20:30:00+00:00,43.6,52.99,45.7,9.39,21.55,Rising,88,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 53.0 µg/m³. Conditions are rising."
61,3,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-26 19:30:00+00:00,2026-02-26 20:30:00+00:00,42.8,47.79,45.3,4.99,11.66,Rising,79,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 47.8 µg/m³. Conditions are rising."
